SYSCALL(args) 		 = return
psynch_mutexdrop(0x10D9AE6D0, 0xB0000000C03, 0xB00)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0xA0000000C03, 0xA00)		 = 3075 0
psynch_mutexdrop(0x10D9AE6D0, 0xC0000000D03, 0xC00)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0xB0000000D03, 0xB00)		 = 3331 0
psynch_mutexdrop(0x10D9AE6D0, 0xD0000000E03, 0xD00)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0xC0000000E03, 0xC00)		 = 3587 0
psynch_mutexdrop(0x10D9AE6D0, 0xE0000000F03, 0xE00)		 = 0 0
psynch_mutexwait(0x10D9AE6D0, 0xD0000000F03, 0xD00)		 = 3843 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x1100004, 0x7FFF52CFEDFD)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFDC18, 0x7FFF52CFEDFD)		 = 0 0
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 184 0
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Contents\0", 0x7FFF52CFF158, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Resources\0", 0x7FFF52CFF158, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Support Files\0", 0x7FFF52CFF158, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x7FFF52CFF6C8, 0x1000)		 = 0 0
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x1100004, 0x7FFF52CFF21D)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFE038, 0x7FFF52CFF21D)		 = 0 0
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 184 0
getdirentries64(0x3, 0x7FE3D5001800, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/MacOS/dist\0", 0x7FFF52CFF638, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Mac OS X/dist\0", 0x7FFF52CFF638, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/MacOSClassic/dist\0", 0x7FFF52CFF638, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/Mac OS 8/dist\0", 0x7FFF52CFF638, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/dist\0", 0x7FFF52CFF638, 0x1000)		 = -1 Err#2
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist/dist\0", 0x7FFF52CFF638, 0x1000)		 = -1 Err#2
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFE618, 0x7FFF52CFE280)		 = 0 0
geteuid(0x7FFF52CFFDD0, 0x7FFF52CFE618, 0x7FFF52CFE280)		 = 0 0
statfs64(0x7FFF96ED886C, 0x7FFF52CFDD18, 0x7FFF52CFE280)		 = 0 0
getuid(0x7FFF96ED886C, 0x7FFF52CFDD18, 0x7FFF52CFE280)		 = 0 0
getuid(0x7FFF96ED886C, 0x7FFF52CFDD18, 0x7FFF52CFE280)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FE3D46005E0, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
fsgetpath(0x7FFF52CFD880, 0x400, 0x7FFF52CFD408)		 = 54 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe\0", 0x7FFF52CFE060, 0x7FFF52CFDCD0)		 = 0 0
fsgetpath(0x7FFF52CFF270, 0x400, 0x7FFF52CFE938)		 = 47 0
open("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe/..namedfork/rsrc\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF52CFECA0, 0x1B6)		 = 0 0
close(0x3)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFE8B8, 0x7FFF52CFE520)		 = 0 0
geteuid(0x7FFF52D00070, 0x7FFF52CFE8B8, 0x7FFF52CFE520)		 = 0 0
geteuid(0x7FFF52D00070, 0x7FFF52CFE8B8, 0x7FFF52CFE520)		 = 0 0
geteuid(0x7FFF52D00070, 0x7FFF52CFE8B8, 0x7FFF52CFE520)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFDCE8, 0x7FFF52CFD950)		 = 0 0
geteuid(0x7FFF52CFF4A0, 0x7FFF52CFDCE8, 0x7FFF52CFD950)		 = 0 0
geteuid(0x7FFF52CFF4A0, 0x7FFF52CFDCE8, 0x7FFF52CFD950)		 = 0 0
geteuid(0x7FFF52CFF4A0, 0x7FFF52CFDCE8, 0x7FFF52CFD950)		 = 0 0
fsgetpath(0x7FFF52CFCF50, 0x400, 0x7FFF52CFCAD8)		 = 54 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe\0", 0x7FFF52CFD730, 0x7FFF52CFD3A0)		 = 0 0
fsgetpath(0x7FFF52CFE940, 0x400, 0x7FFF52CFE008)		 = 47 0
open("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe/..namedfork/rsrc\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF52CFE370, 0x1B6)		 = 0 0
close(0x3)		 = 0 0
fsgetpath(0x7FFF52CFE000, 0x400, 0x7FFF52CFDB88)		 = 54 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe\0", 0x7FFF52CFE4F0, 0x7FFF52CFE450)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFED28, 0x7FFF52CFE990)		 = 0 0
