SYSCALL(args) 		 = return
geteuid(0x7FFF52CFD830, 0x4, 0x7FFF52CFD840)		 = 0 0
geteuid(0x7FFF52CFD830, 0x4, 0x7FFF52CFD840)		 = 0 0
issetugid(0x7FFF52CFD830, 0x4, 0x7FFF52CFD840)		 = 0 0
issetugid(0x7FFF52CFD830, 0x4, 0x7FFF52CFD840)		 = 0 0
gettid(0x7FFF52CFD1EC, 0x7FFF52CFD1E8, 0x7FFF52CFD840)		 = -1 Err#3
geteuid(0x7FFF52CFD1EC, 0x7FFF52CFD1E8, 0x7FFF52CFD840)		 = 0 0
getuid(0x7FFF52CFD1EC, 0x7FFF52CFD1E8, 0x7FFF52CFD840)		 = 0 0
open_nocancel("/etc/.mdns_debug\0", 0x0, 0x0)		 = -1 Err#2
issetugid(0x7FFFAB3E822A, 0x0, 0x0)		 = 0 0
issetugid(0x7FFFAB3E822A, 0x0, 0x0)		 = 0 0
stat64("/var/root\0", 0x7FFF52CFCD18, 0x0)		 = 0 0
__mac_syscall(0x7FFFAB4F7C46, 0x2, 0x7FFF52CFD4D8)		 = 0 0
getuid(0x7FFFAB4F7C46, 0x2, 0x7FFF52CFD4D8)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FE3D6200570, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x200, 0x0, 0x0)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
bsdthread_ctl(0x100, 0x800008FF, 0xFFFFFFFF)		 = 0 0
bsdthread_ctl(0x100, 0x800010FF, 0xFFFFFFFF)		 = 0 0
shm_open(0x7FE3D4608040, 0x0, 0x0)		 = 3 0
mmap(0x0, 0x4000, 0x1, 0x1, 0x3, 0x0)		 = 0x10DBB1000 0
close(0x3)		 = 0 0
open("/System/Library/Preferences/Logging/Subsystems/com.apple.defaults.plist\0", 0x0, 0x7FFF52CFC748)		 = -1 Err#2
open("/Library/Preferences/Logging/Subsystems/com.apple.defaults.plist\0", 0x0, 0x7FFF52CFC748)		 = -1 Err#2
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
geteuid(0x7FFF52CFCDD0, 0x0, 0x7FFF52CFC748)		 = 0 0
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x1100004, 0x7FFF52CFD00D)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFBE28, 0x7FFF52CFD00D)		 = 0 0
getdirentries64(0x3, 0x7FE3D6802000, 0x1000)		 = 184 0
getdirentries64(0x3, 0x7FE3D6802000, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
geteuid(0x3, 0x7FE3D6802000, 0x1000)		 = 0 0
geteuid(0x3, 0x7FE3D6802000, 0x1000)		 = 0 0
open("/System/Library/Preferences/Logging/Subsystems/com.apple.CFBundle.plist\0", 0x0, 0x7FFF52CFC7E8)		 = -1 Err#2
open("/Library/Preferences/Logging/Subsystems/com.apple.CFBundle.plist\0", 0x0, 0x7FFF52CFC7E8)		 = -1 Err#2
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist/\0", 0x1100004, 0x7FFF52CFD02E)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFBE48, 0x7FFF52CFD02E)		 = 0 0
getdirentries64(0x3, 0x7FE3D6802000, 0x1000)		 = 184 0
getdirentries64(0x3, 0x7FE3D6802000, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist//en.lproj\0", 0x1100004, 0x7FFF52CFCF47)		 = -1 Err#2
open_nocancel("/Users/elrikdante/Desktop/repos/haskell-c/dist//Base.lproj\0", 0x1100004, 0x7FFF52CFCF49)		 = -1 Err#2
geteuid(0x7FFF52CFCF10, 0x1100004, 0x7FFF52CFCF49)		 = 0 0
geteuid(0x7FFF52CFCF10, 0x1100004, 0x7FFF52CFCF49)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x70000281CB80, 0x1)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x40, 0x70000281CB80, 0x2)		 = 0 Err#-2
getaudit_addr(0x7FFF52D00380, 0x30, 0x1)		 = 0 0
open("/System/Library/Preferences/Logging/Subsystems/com.apple.processmanager.plist\0", 0x0, 0x7FFF52CFF7F8)		 = -1 Err#2
open("/Library/Preferences/Logging/Subsystems/com.apple.processmanager.plist\0", 0x0, 0x7FFF52CFF7F8)		 = -1 Err#2
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7000027165E0, 0x1)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
bsdthread_ctl(0x100, 0x800010FF, 0x3D1B)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x100, 0x0, 0x3D1B)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x70000281CB80, 0x0)		 = 0 Err#-2
workq_kernreturn(0x40, 0x70000281CB80, 0x1)		 = 0 Err#-2
sigreturn(0x7FFF52D01640, 0x1E, 0x7FFF52CFF7F8)		 = 0 Err#-2
sigreturn(0x7FFF52D01640, 0x1E, 0x7FFF52CFF7F8)		 = 0 Err#-2
workq_kernreturn(0x40, 0x70000281CB80, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x70000281C480, 0x1)		 = 0 0
bsdthread_ctl(0x100, 0x800008FF, 0x3D1F)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002716B80, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x100, 0x0, 0x3D1F)		 = 0 0
sigreturn(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 Err#-2
issetugid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
issetugid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
geteuid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
geteuid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
geteuid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
geteuid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
geteuid(0x7FFF52D01630, 0x1E, 0x7FFF52CFF7F8)		 = 0 0
access("/etc/localtime\0", 0x4, 0x7FFF52CFF7F8)		 = 0 0
open_nocancel("/etc/localtime\0", 0x0, 0x0)		 = 3 0
fstat64(0x3, 0x7FFF52CFE330, 0x0)		 = 0 0
read_nocancel(0x3, "TZif\0", 0x2A64)		 = 1267 0
close_nocancel(0x3)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x40, 0x700002799B80, 0x2)		 = 0 Err#-2
stat64("/usr/share/icu/icudt57l/lang/en.res\0", 0x7FFF52CFFAC8, 0x1)		 = -1 Err#2
stat64("/usr/share/icu/icudt57l.dat\0", 0x7FFF52CFFA08, 0x1)		 = 0 0
open("/usr/share/icu/icudt57l.dat\0", 0x0, 0x0)		 = 3 0
mmap(0x0, 0x18B7D40, 0x1, 0x1, 0x3, 0x0)		 = 0x10F286000 0
close(0x3)		 = 0 0
stat64("/usr/share/icu/icudt57l/lang/pool.res\0", 0x7FFF52CFF988, 0x1)		 = -1 Err#2
stat64("/usr/share/icu/icudt57l/lang/root.res\0", 0x7FFF52CFFAF8, 0x1)		 = -1 Err#2
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
geteuid(0x7FFF52CFFC85, 0x7FFF52CFFAF8, 0x1)		 = 0 0
csops(0x69DC, 0x7, 0x7FFF52D00B70)		 = -1 Err#22
csops(0x69DC, 0x7, 0x7FFF52D00B70)		 = -1 Err#22
csops(0x69DC, 0x7, 0x7FFF52D00C00)		 = -1 Err#22
__mac_syscall(0x7FFFAB4F7C46, 0x2, 0x7FFF52D01028)		 = 0 0
lstat64("/Users\0", 0x7FFF52CFF5F0, 0x7FFF52D01028)		 = 0 0
lstat64("/Users/elrikdante\0", 0x7FFF52CFF5F0, 0x7FFF52D01028)		 = 0 0
lstat64("/Users/elrikdante/Desktop\0", 0x7FFF52CFF5F0, 0x7FFF52D01028)		 = 0 0
lstat64("/Users/elrikdante/Desktop/repos\0", 0x7FFF52CFF5F0, 0x7FFF52D01028)		 = 0 0
lstat64("/Users/elrikdante/Desktop/repos/haskell-c\0", 0x7FFF52CFF5F0, 0x7FFF52D01028)		 = 0 0
lstat64("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x7FFF52CFF5F0, 0x7FFF52D01028)		 = 0 0
stat64("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x7FFF52D00B80, 0x7FFF52D01028)		 = 0 0
access("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x4, 0x7FFF52D01028)		 = 0 0
geteuid(0x7FFF52D00C10, 0x4, 0x7FFF52D01028)		 = 0 0
geteuid(0x7FFF52D00C10, 0x4, 0x7FFF52D01028)		 = 0 0
geteuid(0x7FFF52D00C10, 0x4, 0x7FFF52D01028)		 = 0 0
geteuid(0x7FFF52D00C10, 0x4, 0x7FFF52D01028)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x1)		 = 0 Err#-2
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x1)		 = 0 Err#-2
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x0)		 = 0 Err#-2
workq_kernreturn(0x40, 0x700002799B80, 0x1)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
psynch_rw_unlock(0x7FFFB3FB82D0, 0x94085, 0x93F00)		 = 259 0
psynch_rw_wrlock(0x7FFFB3FB82D0, 0x94085, 0x93E00)		 = 259 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x70000281CB80, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
lstat64("/System\0", 0x7FFF52CFFBE0, 0x1)		 = 0 0
lstat64("/System/Library\0", 0x7FFF52CFFBE0, 0x1)		 = 0 0
lstat64("/System/Library/CoreServices\0", 0x7FFF52CFFBE0, 0x1)		 = 0 0
lstat64("/System/Library/CoreServices/SystemAppearance.bundle\0", 0x7FFF52CFFBE0, 0x1)		 = 0 0
stat64("/System/Library/CoreServices/SystemAppearance.bundle\0", 0x7FFF52D01170, 0x1)		 = 0 0
access("/System/Library/CoreServices/SystemAppearance.bundle\0", 0x4, 0x1)		 = 0 0
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle\0", 0x1100004, 0x7FFF52D007C3)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFF5D8, 0x7FFF52D007C3)		 = 0 0
getdirentries64(0x3, 0x7FE3D780BE00, 0x1000)		 = 88 0
getdirentries64(0x3, 0x7FE3D780BE00, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle/Contents\0", 0x1100004, 0x7FFF52D00BEC)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFF9F8, 0x7FFF52D00BEC)		 = 0 0
getdirentries64(0x3, 0x7FE3D780BE00, 0x1000)		 = 240 0
getdirentries64(0x3, 0x7FE3D780BE00, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
open("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Info.plist\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF52D00600, 0x1B6)		 = 0 0
read(0x3, "<?xml version=\"1.0\" encoding=\"UTF-8\"?>\n<!DOCTYPE plist PUBLIC \"-//Apple//DTD PLIST 1.0//EN\" \"http://www.apple.com/DTDs/PropertyList-1.0.dtd\">\n<plist version=\"1.0\">\n<dict>\n\t<key>BuildMachineOSBuild</key>\n\t<string>16C37</string>\n\t<key>CFBundleDevelopmentRegi", 0x73C)		 = 1852 0
close(0x3)		 = 0 0
geteuid(0x3, 0x7FE3D780CE00, 0x73C)		 = 0 0
geteuid(0x3, 0x7FE3D780CE00, 0x73C)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources\0", 0x1100004, 0x7FFF52D00786)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFF588, 0x7FFF52D00786)		 = 0 0
getdirentries64(0x3, 0x7FE3D780BE00, 0x1000)		 = 1248 0
getdirentries64(0x3, 0x7FE3D780BE00, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
stat64("/usr/share/icu/icudt57l/metadata.res\0", 0x7FFF52CFF178, 0x1000)		 = -1 Err#2
stat64("/usr/share/icu/icudt57l/supplementalData.res\0", 0x7FFF52CFF178, 0x1000)		 = -1 Err#2
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources\0", 0x1100004, 0x7FFF52D007A6)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFF5A8, 0x7FFF52D007A6)		 = 0 0
getdirentries64(0x3, 0x7FE3D780CE00, 0x1000)		 = 1248 0
getdirentries64(0x3, 0x7FE3D780CE00, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/en.lproj\0", 0x1100004, 0x7FFF52D006BF)		 = 3 0
fstatfs64(0x3, 0x7FFF52CFF4B8, 0x7FFF52D006BF)		 = 0 0
getdirentries64(0x3, 0x7FE3D780CE00, 0x1000)		 = 96 0
getdirentries64(0x3, 0x7FE3D780CE00, 0x1000)		 = 0 0
close_nocancel(0x3)		 = 0 0
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Base.lproj\0", 0x1100004, 0x7FFF52D006C1)		 = -1 Err#2
open_nocancel("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/English.lproj\0", 0x1100004, 0x7FFF52D006C4)		 = -1 Err#2
geteuid(0x7FFF52D00670, 0x1100004, 0x7FFF52D006C4)		 = 0 0
geteuid(0x7FFF52D00670, 0x1100004, 0x7FFF52D006C4)		 = 0 0
open("/System/Library/Preferences/Logging/Subsystems/com.apple.coreui.plist\0", 0x0, 0x7FFF52D004D8)		 = -1 Err#2
open("/Library/Preferences/Logging/Subsystems/com.apple.coreui.plist\0", 0x0, 0x7FFF52D004D8)		 = -1 Err#2
open("/System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/SystemAppearance.car\0", 0x0, 0x1A4)		 = 3 0
fstat64(0x3, 0x7FFF52D01260, 0x1A4)		 = 0 0
lseek(0x3, 0x0, 0x0)		 = 0 0
read(0x3, "BOMStore\0", 0x200)		 = 512 0
mmap(0x0, 0x3CAB6C, 0x1, 0x4D000002, 0x3, 0x0)		 = 0x110B3E000 0
sigreturn(0x7FFF52D01140, 0x1E, 0x1)		 = 0 Err#-2
close(0x3)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FE3D6209F00, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x700002799B80, 0x0)		 = 0 Err#-2
workq_kernreturn(0x40, 0x700002799B80, 0x1)		 = 0 Err#-2
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
ulock_wake(0x1000002, 0x10DACE200, 0x0)		 = -2 0
ulock_wait(0x1010002, 0x10DACE200, 0x602)		 = 0 0
geteuid(0x1000002, 0x10DACE200, 0x0)		 = 0 0
geteuid(0x1000002, 0x10DACE200, 0x0)		 = 0 0
geteuid(0x1000002, 0x10DACE200, 0x0)		 = 0 0
geteuid(0x1000002, 0x10DACE200, 0x0)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/dist\0", 0x7FFF52D00988, 0x7FFF52D005C0)		 = 0 0
geteuid(0x7FFF52D009A0, 0x7FFF52D00988, 0x7FFF52D005C0)		 = 0 0
geteuid(0x7FFF52D009A0, 0x7FFF52D00988, 0x7FFF52D005C0)		 = 0 0
geteuid(0x7FFF52D009A0, 0x7FFF52D00988, 0x7FFF52D005C0)		 = 0 0
geteuid(0x7FFF52D009A0, 0x7FFF52D00988, 0x7FFF52D005C0)		 = 0 0
stat64("/System/Library/Frameworks/ApplicationServices.framework/Frameworks/ColorSync.framework/ColorSync\0", 0x7FFF52D001C8, 0x7FFF52D005C0)		 = 0 0
access("/System/Library/ColorSync/Profiles/AdobeRGB1998.icc\0", 0x4, 0x7FFF52D005C0)		 = 0 0
open("/System/Library/ColorSync/Profiles/AdobeRGB1998.icc\0", 0x0, 0x0)		 = 3 0
fstat64(0x3, 0x7FFF52D00780, 0x0)		 = 0 0
read(0x3, "\0", 0x230)		 = 560 0
close(0x3)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
geteuid(0x20, 0x0, 0x1)		 = 0 0
